circuit_short_name,Avg_Position,Std_Position,Best_Finish,Worst_Finish,Avg_Points,Total_Points,Max_Points,Unique_Drivers
Singapore,10.26,5.71,1,20,5.18,202,25,22
Catalunya,10.34,5.73,1,20,5.14,303,25,27
Melbourne,10.34,5.73,1,20,5.14,303,25,27
Austin,10.5,5.84,1,20,5.05,202,25,22
Imola,10.5,5.84,1,20,5.05,202,25,26
Interlagos,10.5,5.84,1,20,5.05,202,25,23
Baku,10.5,5.84,1,20,5.05,202,25,23
Hungaroring,10.5,5.84,1,20,5.05,202,25,20
Las Vegas,10.5,5.84,1,20,5.05,202,25,22
Jeddah,10.5,5.81,1,20,5.05,303,25,27
Mexico City,10.5,5.84,1,20,5.05,202,25,22
Lusail,10.5,5.84,1,20,5.05,202,25,21
Monte Carlo,10.5,5.81,1,20,5.05,303,25,27
Montreal,10.5,5.81,1,20,5.05,303,25,27
Monza,10.5,5.84,1,20,5.05,202,25,22
Miami,10.5,5.81,1,20,5.05,303,25,27
Sakhir,10.5,5.81,1,20,5.05,303,25,27
Shanghai,10.5,5.84,1,20,5.05,202,25,26
Silverstone,10.5,5.81,1,20,5.05,303,25,27
Spa-Francorchamps,10.5,5.81,1,20,5.05,303,25,26
Spielberg,10.5,5.81,1,20,5.05,303,25,27
Suzuka,10.5,5.81,1,20,5.05,303,25,26
Yas Marina Circuit,10.5,5.84,1,20,5.05,202,25,23
Zandvoort,10.5,5.84,1,20,5.05,202,25,21
